"Afghanistan";"Angola";"Albanie";"Andorre";"Le.monde.arabe";"Émirats.arabes.unis";"Argentine";"Arménie";"Antigua.et.Barbuda";"Australie";"Autriche";"Azerbaïdjan";"Burundi";"Belgique";"Bénin";"Burkina.Faso";"Bangladesh";"Bulgarie";"Bahreïn";"Bahamas";"Bosnie.Herzégovine";"Bélarus";"Belize";"Bolivie";"Brésil";"Barbade";"Brunéi.Darussalam";"Bhoutan";"Botswana";"République.centrafricaine";"Canada";"Europe.centrale.et.les.pays.baltes";"Suisse";"Chili";"Chine";"Côte.d.Ivoire";"Cameroun";"Congo";"Congo.1";"Colombie";"Comores";"Cabo.Verde";"Costa.Rica";"Petits.états.des.Caraïbes";"Cuba";"Chypre";"République.tchèque";"Allemagne";"Djibouti";"Dominique";"Danemark";"République.dominicaine";"Algérie";"Asie.de.l.Est.et.Pacifique..hors.revenu.élevé.";"de.dividende.précoce.démographique";"Asie.de.l.Est.et.Pacifique";"Europe.et.Asie.centrale..hors.revenu.élevé.";"Europe.et.Asie.centrale";"Équateur";"Égypte";"Zone.euro";"Érythrée";"Espagne";"Estonie";"Éthiopie";"Union.européenne";"Fragile.et.les.situations.de.conflit.touchées";"Finlande";"Fidji";"France";"Micronésie";"Gabon";"Royaume.Uni";"Géorgie";"Ghana";"Guinée";"Gambie";"Guinée.Bissau";"Guinée.équatoriale";"Grèce";"Grenade";"Guatemala";"Guyana";"Revenu.élevé";"Honduras";"Pays.pauvres.très.endettés..PPTE.";"Croatie";"Haïti";"Hongrie";"BIRD.seulement";"BIRD.et.IDA";"IDA.totale";"IDA.mélange";"Indonésie";"IDA.seulement";"Inde";"Irlande";"Iran";"Iraq";"Islande";"Israël";"Italie";"Jamaïque";"Jordanie";"Japon";"Kazakhstan";"Kenya";"République.kirghize";"Cambodge";"Kiribati";"Saint.Kitts.et.Nevis";"Corée";"Koweït";"Amérique.latine.et.Caraïbes..hors.revenu.élevé.";"République.démocratique.populaire.lao";"Liban";"Libéria";"Libye";"Sainte.Lucie";"Amérique.latine.et.Caraïbes";"Pays.les.moins.avancés..classement.de.l.ONU";"Faible.revenu";"Liechtenstein";"Sri.Lanka";"Revenu.intermédiaire";"Revenu.faible.et.intermédiaire";"Lesotho";"de.dividende.tardif.démographique";"Lituanie";"Luxembourg";"Lettonie";"Maroc";"Moldova";"Madagascar";"Maldives";"Afrique.du.Nord.et.Moyen.Orient";"Mexique";"Îles.Marshall";"Revenu.intermédiaire.1";"Macédoine.du.Nord";"Mali";"Malte";"Myanmar";"Afrique.du.Nord.et.Moyen.Orient..hors.revenu.élevé.";"Monténégro";"Mongolie";"Mozambique";"Mauritanie";"Maurice";"Malawi";"Malaisie";"Amérique.du.Nord";"Namibie";"Niger";"Nigéria";"Nicaragua";"Pays.Bas";"Norvège";"Népal";"Nauru";"Nouvelle.Zélande";"Pays.membres.de.l.OCDE";"Oman";"Autres.petits.états";"Pakistan";"Panama";"Pérou";"Philippines";"Palaos";"Papouasie.Nouvelle.Guinée";"Pologne";"de.Pré.dividende.démographique";"Corée.1";"Portugal";"Paraguay";"Petits.états.insulaires.du.Pacifique";"de.Post.dividende.démographique";"Qatar";"Roumanie";"Fédération.de.Russie";"Rwanda";"Asie.du.Sud";"Arabie.saoudite";"Soudan";"Sénégal";"Singapour";"Îles.Salomon";"Sierra.Leone";"El.Salvador";"Somalie";"Serbie";"Afrique.subsaharienne..hors.revenu.élevé.";"Soudan.du.Sud";"Afrique.subsaharienne";"Petits.états";"Sao.Tomé.et.Principe";"Suriname";"République.slovaque";"Slovénie";"Suède";"Eswatini";"Seychelles";"République.arabe.syrienne";"Tchad";"Asie.de.l.Est.et.Pacifique..BIRD.et.IDA.";"Europe.et.Asie.centrale..BIRD.et.IDA.";"Togo";"Thaïlande";"Tadjikistan";"Turkménistan";"Amérique.latine.et.Caraïbes..BIRD.et.IDA.";"Timor.Leste";"Afrique.du.Nord.et.Moyen.Orient..BIRD.et.IDA.";"Tonga";"Asie.du.Sud..BIRD.et.IDA.";"Afrique.subsaharienne..BIRD.et.IDA.";"Trinité.et.Tobago";"Tunisie";"Turquie";"Tuvalu";"Tanzanie";"Ouganda";"Ukraine";"Revenu.intermédiaire.2";"Uruguay";"États.Unis";"Ouzbékistan";"Saint.Vincent.et.les.Grenadines";"Venezuela";"Viet.Nam";"Vanuatu";"Monde";"Samoa";"Yémen";"Afrique.du.Sud";"Zambie";"Zimbabwe"
0,2225;0,5546;1,8195;7,6537;2,8157;29,0556;3,0738;5,5813;3,3161;15,4485;7,5894;7,4535;0,031;10,9668;0,0643;0,0548;0,1075;8,4432;20,7569;7,241;5,3334;9,7975;1,8073;1,467;1,3131;3,7857;12,4462;0,1433;2,0947;0,0534;15,1489;8,9308;6,4522;2,2874;1,9145;0,2275;0,2537;NA;NA;1,4947;0,1624;0,2743;0,9087;4,5528;3,3519;5,8212;14,5355;12,0266;0,4678;0,8635;10,1324;1,1025;2,4665;1,6687;1,282;2,4808;10,6284;9,4719;1,4756;NA;8,4307;NA;5,5304;22,4832;0,0482;8,4761;0,913;10,9417;0,8841;6,1373;NA;4,1708;9,813;6,9742;0,1806;0,1574;0,1826;0,1746;0,1289;7,4161;1,1106;0,4342;1,566;11,3589;0,4848;0,1709;4,2576;0,1473;6,4989;2,5746;2,1668;0,4966;0,9911;0,8154;0,2463;0,6475;8,8105;NA;3,6362;7,6523;7,2554;7,145;3,1229;2,853;8,8318;14,5125;0,2651;5,1831;0,1414;0,2662;2,707;NA;17,3917;1,8499;0,1182;1,5638;0,2036;6,7501;1,3352;2,0448;0,1291;0,629;6,9529;0,2216;NA;2,0788;0,189;3,3982;8,7132;29,5666;7,0518;0,875;10,2934;0,0749;0,7112;3,3721;3,2988;NA;2,1902;4,2022;0,0011;6,5223;0,1017;2,3538;3,1664;6,0006;0,0842;0,4686;1,0956;0,0577;3,1181;18,9844;NA;0,0681;0,7643;0,4565;9,9241;6,9103;0,0479;13,5445;6,7001;10,2629;6,6056;4,7404;0,5115;1,098;0,9444;0,6673;NA;0,5615;9,1893;0,4524;NA;4,1139;0,51;0,9108;11,8027;28,3919;7,4404;14,6215;0,0751;0,562;10,7099;0,2546;0,3092;9,5073;0,4627;0,074;0,4434;0,1043;8,1611;0,7787;0,0905;0,7788;4,4328;0,4155;4,264;10,3431;6,7712;6,2333;0,6557;2,1581;2,6102;0,0669;1,6127;10,2551;0,2528;1,6155;2,034;12,0018;1,9956;NA;2,3488;0,8103;0,562;0,7788;10,3828;1,7227;2,5624;1,0891;0,0721;0,0449;13,2704;NA;1,2352;19,4073;5,7421;0,7112;5,1457;0,2889;0,4639;3,8963;0,5351;NA;6,2105;0,3565;1,6354
0,2075;0,5454;1,2428;7,3962;2,7652;30,6515;3,1994;5,7192;3,4573;15,3182;8,0491;7,1597;0,0393;11,3909;0,051;0,0545;0,0991;6,815;19,3308;7,3898;4,7619;9,4388;2,3061;1,5004;1,3401;3,7779;12,525;0,229;1,9774;0,0483;14,741;8,2657;6,7162;2,1605;2,0005;0,2256;0,5918;0,0884;1,3415;1,516;0,1583;0,2683;0,9446;4,5736;2,5593;6,395;13,2802;11,6549;0,4614;0,8678;12,184;1,1307;2,5419;1,7405;1,3131;2,5592;10,26;9,2803;1,4729;1,5337;8,4363;NA;5,6998;20,2009;0,0467;8,3574;0,8922;10,9958;0,8664;6,5004;NA;4,5149;9,9378;5,2751;0,1616;0,1542;0,1846;0,1711;0,1449;7,347;1,2029;0,4335;1,5321;11,2615;0,4714;0,1725;3,1435;0,1415;6,2226;2,5629;2,1557;0,5027;1,0206;0,8761;0,2392;0,6831;8,9043;3,5572;2,5523;7,4089;6,9751;7,1191;3,0723;2,6675;8,9057;14,9753;0,2463;4,5748;0,1404;0,2611;2,7132;5,7776;5,838;1,8823;0,124;1,92;0,1908;6,6375;1,3863;2,0658;0,1249;0,6037;7,1997;0,2275;1,113;2,074;0,1913;3,3876;9,2572;30,3618;6,4891;0,9252;8,2739;0,0776;0,6892;3,3708;3,4552;NA;2,1878;4,1145;0,0011;6,074;0,0988;2,3583;2,2401;6,7089;0,0693;0,4743;1,1679;0,0651;3,6132;18,5804;0,7912;0,0625;0,8387;0,4437;10,253;6,4129;0,0586;13,1287;6,4748;10,2018;8,2947;4,5629;0,5059;1,247;0,8976;0,6448;NA;0,5462;9,1936;0,4235;5,9295;4,2941;0,4846;0,9132;11,6748;32,8159;6,2066;14,3971;0,0668;0,5881;11,2842;0,2237;0,3005;9,719;0,4791;0,0777;0,5622;0,1055;6,8724;0,7728;0,0842;0,773;4,3161;0,4062;4,9281;9,0397;6,3718;6,2943;0,6294;2,4134;2,7984;0,0662;1,6904;9,8698;0,2331;1,7481;1,8304;9,8881;2,0367;NA;2,3536;0,909;0,5881;0,773;10,2255;1,743;2,5994;1,0691;0,0695;0,0446;12,537;3,3172;1,3938;19,0034;5,6596;0,798;4,993;0,2896;0,4526;3,8581;0,5928;0,4964;5,9234;0,3655;1,7634
0,1153;0,5446;0,6837;7,1574;2,9286;28,2105;3,2152;3,0493;4,4851;15,3559;7,3539;8,6168;0,0313;11,1825;0,0513;0,0542;0,1062;6,4823;22,1292;9,1143;3,735;8,6126;2,6274;1,5079;1,3333;4,5348;12,9409;0,2198;2,3228;0,0501;15,0282;7,7086;6,6469;2,1999;2,0757;0,2158;0,5648;0,0468;1,3006;1,5472;0,1545;0,288;1,2493;4,842;2,0188;6,7618;12,9992;11,0738;0,4814;1,1575;11,028;1,2952;2,4989;1,7931;1,3193;2,6184;9,5929;8,8348;1,5439;1,5248;8,1606;0,229;5,9342;15,5372;0,0292;8,0613;0,9328;10,3689;0,915;6,2632;NA;4,3665;9,6889;4,1182;0,1896;0,1537;0,1774;0,176;1,7952;7,518;1,6825;0,5061;1,4497;11,2051;0,5108;0,1649;3,2868;0,1249;5,5934;2,5193;2,1152;0,4926;1,032;0,9096;0,218;0,6901;8,855;3,7782;3,6626;7,4313;7,195;7,0826;3,3476;3,0852;8,9617;15,4412;0,2413;3,0562;0,1389;0,2567;3,6675;6,3468;14,2228;1,8781;0,1315;1,8743;0,1949;5,926;2,0489;2,067;0,1218;0,5389;7,0992;0,296;1,1209;2,0348;0,1883;3,3387;5,3998;29,1707;5,3436;0,9795;6,8288;0,076;0,9618;3,546;3,4318;1,6661;2,152;4,2319;0,0011;5,9029;0,1038;2,4717;2,4321;5,7501;0,0796;0,4703;1,2172;0,0623;3,6256;18,6274;0,8347;0,0561;0,9164;0,506;10,0928;7,0455;0,0594;11,8472;6,9032;10,136;7,5155;4,2783;0,5473;1,425;0,9125;0,682;12,4969;0,527;8,9504;0,4838;5,557;4,6993;0,5775;0,9162;11,5329;31,1484;5,536;13,672;0,0653;0,5982;11,6912;0,208;0,3223;9,7224;0,4943;0,0744;0,6034;0,1058;6,2761;0,7665;0,0726;0,7667;4,18;0,3183;4,8865;8,6899;6,4263;6,547;0,6269;2,5437;2,6717;0,065;1,7525;9,2538;0,1826;1,8959;1,3596;7,1567;2,0494;NA;2,4672;0,806;0,5982;0,7667;10,2295;1,8302;2,6606;1,0564;0,0674;0,0436;11,0189;3,3132;1,5125;19,0229;5,272;1,0599;4,981;0,2982;0,3784;3,8018;0,5889;0,6117;5,7188;0,353;1,7357
0,0957;0,711;0,6383;6,9308;3,0702;28,6153;3,2403;1,4578;3,7974;15,4836;7,3112;6,4111;0,0342;10,9188;0,0508;0,0539;0,1108;6,6015;22,7798;7,2528;3,3984;7,4636;2,4205;1,352;1,3586;3,8315;13,8034;0,2496;2,2226;0,0518;14,7134;7,5087;6,2624;2,3088;2,2448;0,2223;0,4621;0,0386;1,2416;1,6143;0,1511;0,2808;1,2275;4,3163;1,8587;6,9493;12,6798;10,9303;0,4908;1,1566;11,4404;1,2566;2,6402;1,9244;1,3376;2,7461;8,7212;8,3508;1,5225;1,5153;7,9582;0,318;5,5405;12,2747;0,0361;7,8918;0,9172;10,5518;0,887;5,9117;1,0691;4,3646;9,3796;3,2763;0,1917;0,1533;0,1797;0,1703;1,8453;7,4653;1,4681;0,5219;1,4588;11,1998;0,5276;0,1532;3,3779;0,0939;5,6365;2,4987;2,0912;0,4741;1,0051;0,9653;0,2043;0,7031;8,85;3,9354;4,6414;7,5078;7,6982;6,9843;3,3834;2,9933;8,873;13,3841;0,2308;2,2384;0,1347;0,3793;3,3778;6,79;18,5892;1,8968;0,1302;2,705;0,1969;6,7283;1,9516;2,0844;0,1234;0,4971;7,3304;0,284;1,0876;2,0106;0,1909;3,3181;4,2741;29,31;4,5879;0,9912;5,8525;0,0768;0,8135;3,6892;3,47;1,8388;2,1309;4,4269;0,0011;7,5678;0,1151;2,5886;2,1142;5,2195;0,0908;0,4694;1,3396;0,0702;3,8341;18,773;0,9339;0,062;0,8391;0,486;10,3431;7,5209;0,0663;10,7569;6,7074;10,1258;7,3267;4,1454;0,5874;1,4573;0,9271;0,7233;12,21;0,515;8,9446;0,5064;4,8829;4,5952;0,6429;0,9151;11,4504;34,1741;5,1706;12,6651;0,0645;0,6117;11,3894;0,1448;0,3062;10,913;0,5084;0,0768;0,6961;0,0967;5,5486;0,7501;0,0498;0,7503;3,9648;0,3121;4,8772;8,3225;6,8081;6,4804;0,6188;2,6296;2,6505;0,0636;1,8913;8,4969;0,1545;2,1241;0,9042;6,6895;2,0725;NA;2,5845;0,9046;0,6117;0,7503;8,2846;1,828;2,7154;1,0508;0,0674;0,0416;9,5691;3,2841;1,4156;19,2183;5,2224;1,1442;5,0722;0,3406;0,3691;3,7679;0,6419;0,6325;5,7963;0,3035;1,5822
0,0835;0,8394;0,6454;6,7172;3,1676;30,3904;3,2448;0,8122;3,7273;15,7356;7,3436;4,4125;0,034;11,3587;0,0473;0,0535;0,1171;6,3622;22,5367;7,0409;0,8399;6,3372;2,268;1,2374;1,3822;3,9356;14,6265;0,2686;2,0485;0,0502;15,0603;7,309;6,0897;2,508;2,3222;0,2239;0,3596;0,048;1,0369;1,6087;0,1478;0,2739;1,39;4,0388;1,995;7,0816;12,0684;10,7554;0,4651;1,1561;12,1394;1,4423;2,6349;1,9903;1,3721;2,8445;7,7235;7,891;1,6567;1,5096;7,9296;0,3574;5,7764;12,1845;0,0406;7,8428;0,8878;11,7779;0,8852;5,8051;1,0374;4,2245;9,2486;2,1588;0,203;0,1542;0,1741;0,1652;1,9074;7,584;1,5508;0,541;1,8811;11,2978;0,5749;0,1503;3,1965;0,0254;5,5862;2,447;2,0411;0,449;0,9343;1,0218;0,2024;0,7256;9,1411;3,9616;5,0434;7,8565;8,0311;6,9012;3,3733;3,0363;9,273;12,3357;0,2246;1,4507;0,1391;0,3738;3,5713;7,4127;22,3447;1,966;0,1331;2,8986;0,1976;8,3253;2,059;2,1428;0,1324;0,4728;6,5688;0,3189;1,0569;1,9614;0,1884;3,2348;4,0496;26,8288;4,0544;1,0576;4,7648;0,0901;0,793;3,8785;3,697;1,8058;2,0811;4,3128;0,001;6,697;0,1335;2,7503;2,0609;4,484;0,0738;0,4622;1,3569;0,073;4,0707;18,8421;1,0523;0,0579;0,7428;0,547;10,2231;7,9348;0,0798;10,7066;6,6934;10,2096;7,5878;4,1876;0,59;1,518;0,9398;0,7614;11,9261;0,4627;8,8149;0,5053;4,4417;4,734;0,743;0,9036;11,4503;36,9296;5,0664;11,3542;0,0698;0,6298;11,235;0,207;0,3101;11,1084;0,5213;0,0811;0,7834;0,0905;5,0293;0,7304;0,0661;0,7307;3,9302;0,3827;4,8529;7,7997;6,8411;6,6612;0,6396;2,83;2,6891;0,0652;1,9636;7,6322;0,2224;2,3385;0,5238;8,1175;2,1286;NA;2,7465;0,9024;0,6298;0,7307;6,7543;1,7959;2,638;1,0461;0,0645;0,0363;8,0058;3,2827;1,3386;19,2562;4,8657;1,2287;4,9226;0,368;0,3602;3,7314;0,5777;0,5705;5,8274;0,2525;1,4698
0,0755;0,9143;0,6054;6,8332;3,1852;30,8835;3,2304;1,0563;3,9475;16,1167;7,6973;4,2252;0,0337;11,3024;0,0496;0,0551;0,1405;6,5286;22,0905;7,3443;0,8985;5,6544;2,2598;1,0942;1,4756;4,0793;15,3796;0,3033;2,0666;0,0488;15,2906;7,3697;6,1699;2,7031;2,5635;0,2357;0,3542;0,0532;0,7718;1,6489;0,1654;0,2917;1,3463;4,0873;2,1214;6,7833;12,1213;10,7086;0,5082;1,4451;11,4649;1,5045;2,6842;2,1873;1,4051;3,0429;7,459;7,8216;1,8094;1,4002;8,0694;0,3708;6,056;11,3181;0,0447;7,9575;0,9113;10,9813;0,8962;5,9157;1,0106;4,6436;9,08;1,7562;0,2127;0,1553;0,1771;0,1611;1,9617;7,8422;1,6337;0,6173;2,0354;11,3874;0,6658;0,1544;3,3463;0,118;5,5601;2,5247;2,0996;0,4511;0,9234;1,1289;0,211;0,7652;9,2689;4,4459;4,7769;7,4775;8,4364;7,3256;3,459;3,0506;9,3328;11,0797;0,237;1,0087;0,1346;0,3682;3,5253;7,9361;21,9004;1,9627;0,136;3,3589;0,196;9,1864;2,2317;2,1584;0,1455;0,4536;6,4746;0,319;1,029;2,0176;0,1913;3,3621;3,7861;21,193;3,6216;1,0824;4,1108;0,0988;1,0069;3,9067;3,4105;1,7751;2,145;4,2944;0,001;6,306;0,1618;2,7835;2,1742;4,4114;0,075;0,4915;1,3809;0,0742;4,2862;18,8301;1,1025;0,054;0,7965;0,5612;10,6158;7,8891;0,0852;10,663;6,6233;10,2632;8,6852;4,1344;0,6216;1,6053;1,0491;0,8917;11,6218;0,4614;8,8094;0,5108;4,0149;5,0558;0,821;0,93;11,5249;36,9807;5,3288;11,0226;0,0809;0,665;10,844;0,1936;0,3197;10,6625;0,5331;0,0555;0,8629;0,0832;5,8423;0,7545;0,0679;0,7548;3,9065;0,3757;4,8102;7,9019;7,2718;6,5969;0,6607;2,6559;2,7233;0,0639;2,1671;7,4235;0,229;2,6215;0,4243;8,0419;2,1411;NA;2,7803;1,0002;0,665;0,7548;6,5911;1,8054;2,8353;1,0433;0,0893;0,0459;7,7505;3,2186;1,4618;19,2169;4,3077;1,3138;5,1585;0,4257;0,4103;3,781;0,6861;0,6005;6,0089;0,2453;1,408
0,069;1,0735;0,6124;7,0151;3,2205;30,5239;3,4629;0,7821;4,0116;16,5056;8,1543;3,5025;0,0354;11,7608;0,1564;0,0593;0,1404;6,6126;22,3625;6,7884;1,0722;5,7729;1,7156;1,0376;1,5804;4,0336;15,7742;0,3721;1,8456;0,0505;15,5926;7,6002;6,2233;3,0721;2,5219;0,2734;0,3506;0,0487;0,9627;1,601;0,1618;0,3325;1,239;4,1716;2,2986;7,0564;12,2867;11,04;0,4654;1,1566;13,9348;1,5888;2,6262;2,1746;1,4448;3,0474;7,1949;7,8351;2,0382;1,4606;8,2277;0,3843;5,7686;12,1504;0,0484;8,1722;0,9304;12,2098;0,9667;6,1566;1,0877;5,0495;9,3778;1,4159;0,2292;0,1601;0,172;0,1578;2,0427;7,8001;1,8122;0,5875;2,0967;11,658;0,6526;0,1588;3,3486;0,1364;5,6686;2,514;2,0906;0,468;0,9568;1,1755;0,2189;0,7872;9,5725;4,4662;4,5695;8,4413;8,5611;7,2485;3,569;3,0095;9,4203;9,8464;0,2524;1,2467;0,1368;0,3622;3,4805;8,547;20,918;2,0526;0,1546;3,5;0,1996;9,4252;2,2082;2,2655;0,1519;0,4253;6,7013;0,4552;1,0547;2,0012;0,1892;3,3331;3,951;21,0996;3,6667;1,0549;3,5287;0,0915;1,0612;3,9573;3,5234;1,7463;2,1314;5,0446;0;6,1068;0,1683;2,799;2,5368;3,6868;0,0721;0,5064;1,4198;0,0718;4,7677;19,1835;1,1636;0,0601;0,9033;0,586;11,1793;7,8971;0,086;9,6665;6,8087;10,5028;8,7694;4,3143;0,6254;1,5911;1,1266;0,9475;11,279;0,466;9,1994;0,5363;3,7265;4,843;0,7895;0,9546;11,7308;39,5643;5,4914;10,8071;0,0715;0,6839;11,2131;0,1806;0,3313;10,4939;0,5439;0,0713;0,7573;0,0763;6,7802;0,7856;0,0681;0,7859;4,0548;0,3692;4,754;7,848;7,6887;7,1994;0,4725;3,1407;2,8568;0,0625;2,1602;7,2436;0,3059;2,9016;0,3711;7,1168;2,2463;NA;2,7964;0,7984;0,6839;0,7859;6,9969;1,8366;3,0739;1,0405;0,0986;0,0494;6,7788;3,3338;1,6891;19,5754;4,2885;1,3125;5,3978;0,4674;0,5151;3,8045;0,7357;0,6539;6,1375;0,1977;1,3294
0,0618;1,0867;0,4669;7,2663;3,2995;29,6564;3,5213;1,021;4,072;16,7101;8,0597;3,3796;0,0354;11,4554;0,1941;0,0633;0,1554;6,3751;22,0948;6,0289;2,0975;5,8483;2,1187;1,1207;1,6692;4,4069;16,6978;0,3474;1,8958;0,0492;15,944;7,3779;6,0305;3,4634;2,5479;0,3241;0,3486;0,0515;1,1255;1,7213;0,1584;0,3483;1,2007;4,2746;2,4959;7,0197;12,1107;10,6376;0,4942;1,4476;12,0435;1,7791;2,5251;2,2083;1,4855;3,0779;6,8115;7,5593;2,0813;1,509;8,1202;0,3622;6,2061;11,9826;0,05;7,9982;0,9545;11,7942;0,9322;5,9875;1,0832;4,7126;8,9886;1,269;0,2354;0,1645;0,1746;0,1721;2,7247;7,8565;1,8949;0,6071;2,2775;11,8062;0,6575;0,1652;3,7641;0,1605;5,5381;2,5113;2,0842;0,4658;0,9381;1,2763;0,2247;0,8174;9,79;4,5425;5,3249;7,9298;8,7337;7,3039;3,6008;3,0357;9,3024;8,6237;0,2341;1,2116;0,1435;0,3558;3,665;9,0059;21,1755;2,1454;0,1611;3,9269;0,1888;8,6081;2,2515;2,3703;0,1583;0,4023;6,9248;0,4515;1,0546;1,9968;0,1926;3,2842;3,8936;19,6448;3,5062;1,0914;3,2625;0,0961;1,2638;4,0576;3,6753;1,7189;2,1301;4,502;0,001;6,4526;0,1649;2,8952;2,7399;3,5772;0,0781;0,4951;1,4108;0,0732;4,9894;19,8999;1,1634;0,0591;0,8669;0,6168;10,6536;8,2948;0,0942;9,6497;7,3229;10,6483;8,9153;4,5161;0,6323;1,6407;1,1023;1,0285;10,9308;0,4838;8,9168;0,5661;3,2727;5,0381;0,853;0,9354;11,8939;46,1141;5,0372;10,07;0,0665;0,7087;11,0375;0,2143;0,3546;10,0526;0,5289;0,0522;0,9105;0,0711;7,4126;0,7921;0,0805;0,7925;4,2198;0,3632;4,7032;7,8521;7,9206;6,4865;0,5955;3,6214;2,7854;0,0631;2,1985;6,8743;0,1655;2,9176;0,4103;6,9895;2,3487;NA;2,8933;0,8941;0,7087;0,7925;7,3511;1,8707;3,1566;1,0384;0,0909;0,0507;6,4876;3,3151;1,7134;20,3309;4,2561;1,4001;5,5383;0,537;0,5032;3,8147;0,7281;0,65;6,3825;0,2507;1,2172
0,0562;1,0913;0,5722;7,517;3,2427;28,5677;3,6616;1,0708;4,4094;17,6605;8,1073;3,3477;0,0365;11,7034;0,1838;0,0679;0,1548;6,1138;23,034;7,4826;2,6148;5,6851;2,0008;1,0462;1,699;4,8171;14,1183;0,359;2,2226;0,0647;16,0765;6,95;6,2236;3,4681;2,6058;0,3146;0,3521;0,0506;1,1374;1,6983;0,1744;0,3635;1,3136;4,4738;2,457;7,2267;11,5519;10,5458;0,5612;1,5956;11,2571;2,0067;2,4946;2,2282;1,5017;3,0402;6,8017;7,547;2,0058;1,5831;8,2352;0,2626;6,3699;11,7159;0,0512;7,9697;0,8807;11,1128;0,8969;6,3315;1,0798;5,2817;8,9934;1,1759;0,3259;0,1702;0,177;0,1436;3,1283;8,1274;2,0716;0,7505;2,3127;11,723;0,7419;0,1695;4,0886;0,1625;5,5861;2,4992;2,0719;0,4711;0,9376;1,2639;0,2324;0,8187;10,3483;4,6799;3,9812;7,8454;8,625;7,4924;3,7725;3,0179;8,9423;9,013;0,2457;1,2665;0,1611;0,3496;4,0696;9,393;23,1542;2,207;0,162;3,8911;0,1857;8,412;2,4864;2,4296;0,1598;0,3838;7,1451;0,4638;1,0761;1,9916;0,1964;3,2855;4,1444;17,8243;3,3734;1,1021;2,947;0,1069;1,1322;3,9882;3,853;1,881;2,1276;4,9016;NA;6,1513;0,1777;2,7702;2,8963;3,5549;0,0733;0,4862;1,5425;0,0699;4,8458;19,8561;1,1636;0,0617;0,7601;0,7076;10,6149;8,5502;0,0979;9,6367;7,1245;10,573;8,5624;4,5947;0,62;1,9825;1,0446;0,9963;10,609;0,5157;8,2354;0,4844;2,9579;5,4723;0,8673;0,9311;11,8203;45,6113;4,4226;10,0763;0,0644;0,7083;11,425;0,1906;0,3887;9,4342;0,539;0,0562;0,9635;0,0645;7,4276;0,7784;0,0684;0,7787;4,3202;0,3577;4,6129;7,6802;7,8218;6,5936;0,6168;3,6781;2,8793;0,061;2,2228;6,7774;0,2538;2,5393;0,4499;7,1849;2,4085;NA;2,7685;0,8881;0,7083;0,7787;7,5005;1,9283;3,1119;1,038;0,0824;0,0559;6,168;3,2986;1,7715;20,2663;4,8339;1,6643;5,5012;0,5895;0,4369;3,7817;0,8316;0,6804;6,4662;0,2315;1,2184
0,042;1,1096;0,9554;7,7679;3,2126;27,6605;3,6698;0,97;4,4703;17,739;7,8888;3,2721;0,0372;11,2953;0,1974;0,0772;0,1587;5,3979;22,3223;7,2438;2,5331;5,4803;1,7617;0,974;1,7348;4,9211;13,5455;0,3503;2,2819;0,0657;16,2585;6,5773;6,2332;3,5865;2,5174;0,4178;0,3259;0,0497;1,321;1,4358;0,19;0,4226;1,2893;4,471;2,5293;7,3744;10,886;10,1533;0,5421;1,6012;10,6599;2,115;2,5542;2,1793;1,5212;3,0263;6,7891;7,4715;1,7411;1,6214;8,1611;0,2758;6,8909;10,9981;0,0489;7,8223;0,8277;10,9399;0,9108;6,1962;1,1669;4,8599;8,9081;1,0873;0,3431;0,1749;0,1862;0,1575;4,9311;8,1214;2,0595;0,725;2,2955;11,7183;0,7333;0,1707;4,1041;0,1681;5,6566;2,4651;2,0414;0,4732;0,9389;1,3246;0,2346;0,8662;10,6451;4,5853;3,0524;7,6429;8,6498;7,6078;3,844;2,9551;9,2025;8,2159;0,25;0,9896;0,1605;0,3437;4,0156;7,9196;24,3631;2,1615;0,1648;4,0094;0,1434;8,5449;2,4644;2,3797;0,1652;0,3914;7,052;0,509;1,0657;1,9684;0,1956;3,2273;3,4759;18,3983;3,1584;1,1428;2,508;0,1062;1,5461;4,0508;3,6869;1,8576;2,1036;4,5064;NA;6,2181;0,1934;2,8152;1,9967;3,5454;0,0709;0,4961;1,8719;0,072;5,1165;19,7262;1,1134;0,0579;0,727;0,701;10,2105;8,8975;0,1292;8,668;7,46;10,5368;9,5045;4,6455;0,6598;1,7023;1,1073;0,9388;10,3199;0,4886;7,9922;0,4415;2,6468;6,0884;0,8496;0,942;11,8296;47,285;3,782;10,3503;0,0662;0,7495;11,4005;0,2071;0,4178;9,5485;0,5486;0,0447;0,947;0,0596;5,3061;0,74;0,0718;0,7404;4,3569;0,3526;4,57;7,5352;7,5187;6,4643;0,6677;3,8552;2,7589;0,0614;2,1703;6,7125;0,3513;2,623;0,4104;8,3735;2,356;NA;2,8137;1,0786;0,7495;0,7404;7,4601;2,0086;3,049;1,0373;0,0752;0,0554;6,1547;3,3153;2,0677;20,1011;4,7915;1,6667;5,2347;0,5941;0,4802;3,7478;0,8232;0,7076;6,0048;0,1829;1,3502
